Date,Field Tag,Receiving Tag,Contractor,Packer,Lot,Variety,Bins Received,Bucket Price,Bucket Weight,"Price/Lb For Picker",Charge w 40%,"Weight (Dumped) By Field Tag",Picking Charge,Sheet,Crew Cost (Per Lb),Crew Cost (Subtotal)
5/8/20,163751,58751,CN FLC,Primma Frutta,453,Coral,15, $6.00 ,20,0.300,0.420,"4,287"," $1,800.54 ",N Perez, $0.033 , $198.06 
5/8/20,164101,58704,CN FLC,Primma Frutta,453,Corals,16, $6.00 ,20,0.300,0.420,"5,252"," $2,205.84 ",N Perez, $0.033 , $242.64 
5/9/20,163752,58867,CN FLC,Primma Frutta,453,Coral,16, $6.00 ,20,0.300,0.420,"5,103"," $2,143.26 ",N Perez, $0.033 , $235.76 
5/9/20,163753,58901,CN FLC,Primma Frutta,453,Coral,23, $6.00 ,20,0.300,0.420,"7,529"," $3,162.18 ",N Perez, $0.033 , $347.84 
5/10/20,163754,58977,CN FLC,Primma Frutta,177,Chelan,10, $6.00 ,20,0.300,0.420,"3,220"," $1,352.40 ",N Perez, $0.033 , $148.76 
5/10/20,163756,58997,CN FLC,Primma Frutta,177,Chelan,14, $6.00 ,20,0.300,0.420,"4,626"," $1,942.92 ",N Perez, $0.033 , $213.72 
5/10/20,163755,58982,CN FLC,Primma Frutta,177,Corals,7, $6.00 ,20,0.300,0.420,"2,079", $873.18 ,N Perez, $0.033 , $96.05 
5/10/20,163757,59015,CN FLC,Primma Frutta,453,Coral,7, $6.00 ,20,0.300,0.420,"2,317", $973.14 ,N Perez, $0.033 , $107.05 
5/11/20,163760,59107,CN FLC,Primma Frutta,266,Brooks,8, $6.50 ,20,0.325,0.455,"2,660"," $1,210.30 ",N Perez, $0.033 , $122.89 
5/11/20,163758,59070,CN FLC,Primma Frutta,266,Coral,8, $6.50 ,20,0.325,0.455,"2,843"," $1,293.57 ",N Perez, $0.033 , $131.35 
5/11/20,163759,59094,CN FLC,Primma Frutta,266,Coral,7, $6.50 ,20,0.325,0.455,"2,279"," $1,036.95 ",N Perez, $0.033 , $105.29 
5/13/20,163761,59483,CN FLC,Primma Frutta,273,Bing,8, $6.50 ,20,0.325,0.455,"2,858"," $1,300.39 ",N Perez, $0.033 , $132.04 
5/13/20,163762,59519,CN FLC,Primma Frutta,273,Bing,13, $6.50 ,20,0.325,0.455,"4,505"," $2,049.78 ",N Perez, $0.033 , $208.13 
5/14/20,164103,59715,CN FLC,Primma Frutta,266,Coral,15, $7.00 ,20,0.350,0.490,"5,084"," $2,491.16 ",N Perez, $0.033 , $234.88 
5/15/20,164106,59930,CN FLC,Primma Frutta,266,Coral,10, $7.00 ,20,0.350,0.490,"3,616"," $1,771.84 ",N Perez, $0.033 , $167.06 
5/15/20,164109,60001,CN FLC,Primma Frutta,266,Coral,5, $7.00 ,20,0.350,0.490,"1,651", $808.99 ,N Perez, $0.033 , $76.28 
5/16/20,164113,60095,CN FLC,Primma Frutta,266,Coral,10, $7.00 ,20,0.350,0.490,"3,540"," $1,734.60 ",N Perez, $0.033 , $163.55 
5/16/20,164114,60147,CN FLC,Primma Frutta,266,Coral,10, $7.00 ,20,0.350,0.490,"3,551"," $1,739.99 ",N Perez, $0.033 , $164.06 
5/16/20,164117,60261,CN FLC,Primma Frutta,266,Coral,10, $7.00 ,20,0.350,0.490,"3,436"," $1,683.64 ",N Perez, $0.033 , $158.74 
5/16/20,161160,60318,CN FLC,Primma Frutta,266,Coral,8, $7.00 ,20,0.350,0.490,"2,897"," $1,419.53 ",N Perez, $0.033 , $133.84 
5/17/20,161162,60414,CN FLC,Primma Frutta,266,Coral,10, $7.00 ,20,0.350,0.490,"3,693"," $1,809.57 ",N Perez, $0.033 , $170.62 
5/17/20,161166,60515,CN FLC,Primma Frutta,266,Bing,10, $7.00 ,20,0.350,0.490,"3,510"," $1,719.90 ",N Perez, $0.033 , $162.16 
